id,feature_A,feature_B,target
71,6.4922,4.4956,1
72,8.3513,3.5355,1
73,8.8261,1.7687,1
74,3.6554,0.9838,0
75,9.6470,3.6612,1
76,6.0836,3.1550,1
77,8.3106,2.0452,1
78,2.9657,4.3845,0
79,6.1391,0.1811,0
80,2.2426,1.5595,0
81,9.5161,1.5745,1
82,3.0749,3.3240,0
83,3.0952,0.0155,0
84,0.3782,4.6179,0
85,0.4799,3.5638,0
86,8.9809,1.9127,1
87,6.1105,3.0665,1
88,2.2798,2.4001,0
89,5.0433,4.0946,1
90,7.5803,0.4472,1
91,2.6186,1.7560,0
92,4.8166,2.9214,1
93,3.5100,0.0006,0
94,0.0705,1.3107,0
95,9.2000,0.5719,1
96,5.0417,3.3491,1
97,1.0621,4.2831,0
98,8.6308,3.5676,1
99,1.6463,0.8142,0
100,2.8822,4.3814,0
101,1.9963,0.3013,0
102,7.2506,4.6874,1
103,4.1168,3.0805,0
104,8.9790,1.4134,1
105,0.8403,1.5232,0
106,8.9296,4.5947,1
107,7.3125,4.3466,1
108,3.5609,1.0005,0
109,9.7095,1.6462,1
110,6.2046,0.6373,0
111,0.1784,2.6506,0
112,0.3655,1.3565,0
113,5.5542,1.3043,0
114,6.5868,2.3079,1
115,6.6301,0.6211,0
116,8.1297,2.6098,1
117,7.5275,2.4615,1
118,6.6557,3.1019,1
119,4.3026,0.6445,0
120,8.7367,4.2243,1
121,4.3458,0.0527,0
122,0.8420,1.8246,0
123,7.4440,3.6712,1
124,6.8786,4.1393,1
125,8.2812,2.3888,1
126,8.7471,0.6928,1
127,1.9429,0.5136,0
128,9.1248,1.8386,1
129,5.6912,3.2062,1
130,6.6592,3.5586,1
131,8.6526,2.7696,1
132,1.7700,3.5334,0
133,5.6653,1.7316,0
134,3.7590,4.7522,1
135,9.8037,2.5368,1
136,1.4539,4.4376,0
137,3.1036,0.2669,0
138,1.8894,0.9929,0
139,1.4738,3.3974,0
140,2.8222,0.6041,0
141,2.2706,1.4253,0
142,1.7968,2.9133,0
143,0.0555,4.0485,0
144,9.2394,3.8651,1
145,9.6278,2.2724,1
146,0.2156,1.1011,0
147,9.3826,4.9110,1
148,2.7011,4.5849,0
149,8.0118,3.2691,1
150,4.9597,1.6553,0
151,1.7483,1.4366,0
152,0.7209,0.7649,0
153,0.3516,4.7236,0
154,8.5671,4.2964,1
155,8.8249,3.7666,1
156,3.2213,3.1543,0
157,6.8770,1.0842,1
158,2.3762,3.7667,0
159,2.8065,0.0916,0
160,0.0335,2.0442,0
161,2.8200,0.3699,0
162,7.2269,2.9632,1
163,4.8410,0.7189,0
164,7.9936,0.3332,1
165,7.3119,1.4054,1
166,0.3215,4.4010,0
167,1.0921,1.3541,0
168,0.0974,2.2583,0
169,0.3696,3.1227,0
170,7.6106,1.4139,1
171,4.6088,1.9699,0
172,5.4778,2.2969,1
173,1.5151,1.6249,0
174,1.7500,2.7662,0
175,7.6808,4.8438,1
176,0.5841,1.5681,0
177,2.4281,3.6294,0
178,4.4947,2.9060,0
179,3.9042,3.0269,0
180,1.6272,2.0927,0
181,6.6126,4.1724,1
182,2.5427,0.1401,0
183,2.2019,4.4451,0
184,9.6348,0.0260,1
185,0.9178,2.0096,0
186,8.0697,1.2186,1
187,7.8002,4.7000,1
188,9.1955,1.3661,1
189,0.3461,1.3751,0
190,6.0577,1.0298,0
191,3.7045,3.0826,0
192,0.0998,1.5264,0
193,2.9535,1.7859,0
194,1.1908,2.2354,0
195,8.8283,0.1863,1
196,1.5011,4.5648,0
197,2.5881,3.4691,0
198,1.8560,1.5505,0
199,6.5825,0.0271,0
200,0.6280,0.4878,0
201,3.0390,4.7515,1
202,4.3269,2.0033,0
203,2.2935,4.3948,0
204,2.1028,2.6480,0
205,4.9919,0.1110,0
206,5.4450,3.3732,1
207,7.0518,4.1948,1
208,9.3417,1.3660,1
209,9.7812,2.2768,1
210,9.4978,4.0852,1
211,7.7267,4.1331,1
212,0.7863,1.5158,0
213,1.1630,4.7616,0
214,8.6652,0.2465,1
215,3.5422,2.9062,0
216,4.6447,2.6312,0
217,0.0539,2.5994,0
218,6.5927,2.5841,1
219,2.3024,4.0002,0
220,8.8351,0.2262,1
221,2.3524,2.1230,0
222,1.2618,0.9998,0
223,8.8681,4.0347,1
224,0.1671,0.2645,0
225,1.0285,3.6801,0
226,5.5813,4.8245,1
227,4.5160,4.0725,1
228,1.2425,3.9006,0
229,5.9571,2.8719,1
230,4.4316,2.3509,0
231,5.7936,0.4996,0
232,1.7049,3.4413,0
233,4.5728,2.0315,0
234,5.8059,4.3418,1
235,8.9605,2.5674,1
236,3.8196,3.6826,1
237,1.6852,0.0172,0
238,3.7197,4.4483,1
239,1.7750,3.5013,0
240,1.5088,1.1067,0
241,2.5189,4.5768,0
242,8.8461,1.5698,1
243,5.8264,0.6502,0
244,8.2112,2.7540,1
245,0.0366,0.5930,0
246,6.1724,3.3905,1
247,0.9139,1.5008,0
248,3.1807,4.2519,0
249,1.9560,4.6150,0
250,7.6603,1.1597,1
251,4.3332,0.9993,0
252,8.0107,2.3289,1
253,4.2012,1.1796,0
254,5.6330,4.9905,1
255,5.6811,2.5822,1
256,5.4290,3.5137,1
257,4.5353,0.6841,0
258,4.4636,1.6619,0
259,2.2099,0.2593,0
260,8.3245,1.0381,1
261,3.7120,0.5325,0
262,6.3716,1.3463,1
263,1.6210,2.8848,0
264,8.3007,2.9715,1
265,5.0418,1.9334,0
266,6.9105,2.6121,1
267,2.0271,3.2064,0
268,1.3011,3.6386,0
269,0.7170,2.6865,0
270,5.2625,4.8938,1
271,6.4732,2.5074,1
272,4.6674,1.1443,0
273,1.5176,4.1650,0
274,2.6570,3.8676,0
275,8.0682,4.6756,1
276,7.1200,3.4220,1
277,3.1678,1.7274,0
278,0.9519,2.7835,0
279,6.1757,1.2904,0
280,4.7057,0.7933,0
281,3.1206,1.5573,0
282,9.6104,3.2882,1
283,8.2477,2.8896,1
284,0.8507,2.4675,0
285,6.7048,1.7409,1
286,6.0536,2.5434,1
287,9.5555,3.8617,1
288,6.8564,0.3229,0
289,7.4967,4.1988,1
290,5.1171,0.5212,0
291,5.9429,3.7585,1
292,2.8328,3.5601,0
293,3.7532,3.2474,0
294,5.7040,0.4102,0
295,5.6465,3.6267,1
296,9.7702,0.9884,1
297,0.5340,1.4185,0
298,3.0280,2.0207,0
299,7.7544,2.6531,1
300,8.0887,1.0850,1
301,3.0393,3.9459,0
302,5.7481,4.9305,1
303,7.9133,0.0279,1
304,5.8350,3.3622,1
305,5.8824,2.6759,1
306,5.9273,2.7939,1
307,5.8077,0.6074,0
308,7.3780,2.5947,1
309,3.4645,3.9275,0
310,1.1308,0.5687,0
311,2.3657,4.4961,0
312,7.1406,2.8512,1
313,3.9664,2.8604,0
314,6.9700,1.3030,1
315,4.4523,3.3917,1
316,7.9939,2.5446,1
317,4.7278,1.8221,0
318,9.6969,4.9342,1
319,0.5356,1.3319,0
320,4.6022,2.8815,0
321,1.6128,1.4225,0
322,8.4365,4.3155,1
323,1.6288,4.6290,0
324,3.8475,2.8790,0
325,8.4188,3.5987,1
326,8.0766,1.5585,1
327,8.3161,3.0183,1
328,1.2276,3.3730,0
329,2.4415,1.0544,0
330,3.6749,0.4563,0
331,8.9094,3.8679,1
332,9.2165,0.6011,1
333,5.3261,0.5290,0
334,0.3942,4.0032,0
335,5.4637,1.5641,0
336,3.9188,1.5040,0
337,0.5621,2.2695,0
338,6.2316,4.0392,1
339,6.0777,1.7536,1
340,2.2969,4.9958,0
341,8.0057,3.6798,1
342,1.4062,2.5987,0
343,5.6536,4.6821,1
344,0.7181,2.5081,0
345,1.4130,3.9175,0
346,5.3306,1.5110,0
347,3.1240,3.2654,0
348,8.1684,2.3788,1
349,3.0611,0.7564,0
350,2.5603,2.3248,0
351,4.1568,0.1206,0
352,7.0425,0.9201,1
353,2.1405,1.9816,0
354,2.2953,2.5462,0
355,7.4136,1.1512,1
356,3.0728,2.4940,0
357,6.8556,2.5133,1
358,9.7070,4.1099,1
359,4.3258,3.4856,1
360,8.9755,3.9870,1
361,3.2909,1.0405,0
362,8.9179,2.6866,1
363,0.5866,0.8794,0
364,2.7768,4.8121,1
365,0.4905,3.4818,0
366,3.3486,1.8470,0
367,9.8314,0.2881,1
368,6.6304,1.1373,1
369,2.1249,3.3767,0
370,3.0411,1.6822,0
371,0.5076,2.3383,0
372,7.1370,1.8533,1
373,8.8684,3.8145,1
374,4.1786,0.2749,0
375,4.7273,1.7554,0
376,1.5554,2.8383,0
377,5.2176,2.9911,1
378,7.3852,0.8358,1
379,4.2409,2.7148,0
380,3.0881,2.9912,0
381,6.1549,0.7589,0
382,9.0397,2.2492,1
383,5.6228,1.4123,0
384,5.9913,2.1205,1
385,5.4197,2.6667,1
386,2.5236,1.8851,0
387,3.7512,2.9591,0
388,2.4422,1.0780,0
389,3.1937,1.1907,0
390,4.2059,1.7506,0
391,2.9817,3.7135,0
392,7.3548,1.1339,1
393,5.7605,4.4098,1
394,0.8424,3.2752,0
395,7.5646,1.5802,1
396,7.7763,4.9554,1
397,9.8240,4.6193,1
398,7.5464,4.8464,1
399,9.8266,0.2135,1
400,8.2432,4.2705,1
401,9.8292,4.3367,1
402,7.2596,0.8331,1
403,8.1389,0.5368,1
404,1.1304,0.3993,0
405,4.1097,4.2705,1
406,9.7245,2.2908,1
407,1.8950,1.7668,0
408,8.0297,1.1764,1
409,6.0677,1.4422,1
410,8.5921,4.4369,1
411,2.1729,1.2135,0
412,2.5489,1.4308,0
413,7.3051,1.4848,1
414,6.2921,2.0672,1
415,6.3029,1.1796,0
416,4.3112,3.7902,1
417,3.9280,4.0512,1
418,3.7759,0.2145,0
419,4.9682,4.8618,1
420,6.5798,1.4063,1
421,6.7215,2.5902,1
422,7.8659,2.9448,1
423,8.6903,3.1968,1
424,0.5162,4.0374,0
425,4.6714,3.9724,1
426,5.6467,2.6788,1
427,0.1259,3.5353,0
428,5.1019,3.3384,1
429,7.9082,1.2902,1
430,9.4991,4.0954,1
431,6.3194,3.7123,1
432,2.5041,0.2277,0
433,0.5094,2.8441,0
434,5.2894,2.8964,1
435,4.3168,0.5656,0
436,4.0911,2.5613,0
437,4.6404,2.5162,0
438,4.7080,3.7831,1
439,8.5211,0.2673,1
440,0.8582,3.9692,0
441,9.3645,3.6708,1
442,8.7116,0.7617,1
443,7.7764,3.0282,1
444,8.9521,0.5009,1
445,2.8654,3.2559,0
446,3.0215,4.2727,0
447,5.8227,1.7130,1
448,7.1761,1.7354,1
449,1.6468,1.7624,0
450,1.0247,0.9676,0
451,5.0985,1.0228,0
452,8.2502,2.8341,1
453,3.8018,2.1506,0
454,0.5047,2.6304,0
455,0.1604,0.5395,0
456,9.6202,4.7510,1
457,6.2122,3.9791,1
458,8.9382,1.6103,1
459,0.8378,4.7097,0
460,5.8967,2.8715,1
461,7.9757,1.0115,1
462,1.4009,0.3804,0
463,0.3881,0.8609,0
464,1.7740,2.1779,0
465,6.5021,2.0453,1
466,7.9927,0.1240,1
467,4.7626,0.0037,0
468,8.9720,2.7978,1
469,0.2574,1.8851,0
470,6.8692,1.9820,1
471,6.5432,1.6663,1
472,0.1590,3.9721,0
473,5.3472,2.6719,1
474,3.3867,4.8034,1
475,7.0145,0.0713,0
476,2.3490,3.0485,0
477,0.4215,3.0030,0
478,2.7582,2.1562,0
479,8.6306,4.3483,1
480,9.9171,4.2948,1
481,4.9893,1.7672,0
482,1.8868,3.6357,0
483,9.2561,4.4563,1
484,1.0127,1.1872,0
485,2.5633,4.7561,0
486,3.6156,2.2925,0
487,0.1364,0.8244,0
488,1.2299,2.2813,0
489,3.4954,0.7721,0
490,2.7720,3.1699,0
491,4.1906,3.0835,0
492,4.8876,3.7690,1
493,4.8669,3.3058,1
494,4.7373,3.6599,1
495,2.4551,1.2667,0
496,8.8302,3.4251,1
497,3.1080,0.2150,0
498,8.6248,0.1078,1
499,3.1139,2.6781,0
500,2.0216,4.2845,0
501,9.2073,2.6553,1
502,5.9299,1.3386,0
503,7.1196,0.7346,1
504,2.5576,0.8535,0
505,9.5394,1.4801,1
506,7.9186,4.7071,1
507,8.9907,4.1286,1
508,0.8310,3.6320,0
509,3.7022,0.6406,0
510,8.9601,0.6488,1
511,0.4951,1.7757,0
512,6.7893,0.2272,0
513,4.6647,2.4683,0
514,5.1231,1.3877,0
515,8.2039,3.5107,1
516,2.5042,2.6373,0
517,5.1720,3.1952,1
518,9.3156,2.5506,1
519,8.0290,2.9721,1
520,5.8698,2.6195,1
521,4.9858,3.0922,1
522,7.5704,3.3370,1
523,7.8306,0.2825,1
524,1.4949,0.5025,0
525,6.1813,1.0020,0
526,1.7737,2.4976,0
527,4.5736,1.3190,0
528,7.6823,0.8916,1
529,1.5973,3.0331,0
530,7.0379,0.6563,1
531,9.5896,0.8400,1
532,5.0997,4.2076,1
533,7.7060,0.0464,1
534,1.1074,3.3644,0
535,6.6765,3.3758,1
536,6.5383,3.0164,1
537,4.5403,0.3962,0
538,9.6383,0.9941,1
539,2.7625,4.7635,1
540,1.8874,1.0438,0
541,4.6010,4.9967,1
542,6.3919,1.1814,1
543,9.8190,1.6057,1
544,2.3640,0.5035,0
545,9.8057,1.2955,1
546,8.2464,1.1766,1
547,1.0261,3.1954,0
548,8.5810,0.8907,1
549,4.6691,4.6035,1
550,5.3237,3.5520,1
551,7.4930,0.9918,1
552,7.2735,2.4206,1
553,4.5398,4.2428,1
554,7.9378,0.3696,1
555,8.9041,1.2336,1
556,6.3133,3.2778,1
557,9.0227,3.8971,1
558,8.8431,4.0752,1
559,8.3235,0.8715,1
560,4.4623,4.3512,1
561,7.9345,3.6135,1
562,8.5951,0.8690,1
563,5.9669,4.3178,1
564,4.8699,1.8941,0
565,6.4566,4.6056,1
566,3.0847,0.0136,0
567,8.1810,4.6831,1
568,4.8652,0.8903,0
569,8.5805,0.7460,1
570,0.1862,1.2053,0
571,5.9855,2.7770,1
572,4.4148,4.0312,1
573,4.3598,3.4028,1
574,5.5152,3.6586,1
575,1.8917,1.1412,0
576,3.2599,1.1340,0
577,7.8477,0.7180,1
578,2.4533,3.6640,0
579,6.0170,2.8314,1
580,8.5878,1.2311,1
581,6.1381,3.6247,1
582,0.9491,2.1037,0
583,5.5154,1.3940,0
584,3.5584,0.3700,0
585,8.1386,0.7361,1
586,9.4154,2.7693,1
587,4.1647,3.4970,1
588,7.7911,1.1237,1
589,2.3905,1.6089,0
590,8.1997,4.3343,1
591,1.3114,1.3928,0
592,1.2102,3.4194,0
593,9.2597,3.4244,1
594,8.0411,4.4688,1
595,8.3658,1.2377,1
596,9.2126,4.3151,1
597,1.9591,3.1658,0
598,2.5429,4.2741,0
599,5.3608,2.3048,1
600,5.3316,1.8154,0
601,9.3597,4.8317,1
602,0.5212,2.4550,0
603,2.9231,1.7658,0
604,9.7121,2.9405,1
605,9.4913,0.1657,1
606,0.6283,2.8694,0
607,8.6963,0.1226,1
608,4.7265,2.9545,1
609,7.3932,1.9934,1
610,2.0102,3.9045,0
611,4.1375,3.8252,1
612,1.3697,4.4338,0
613,4.8525,1.5679,0
614,4.9145,3.4130,1
615,2.1861,4.9289,0
616,1.6704,3.2378,0
617,1.0954,3.4586,0
618,2.6521,2.4104,0
619,9.5598,3.3090,1
620,9.3107,1.3757,1
621,2.4019,2.5908,0
622,8.2542,0.9677,1
623,6.7307,4.6420,1
624,5.3874,1.6312,0
625,0.9970,3.8308,0
626,5.5140,4.3067,1
627,0.2604,1.7282,0
628,4.8174,0.6418,0
629,9.7564,2.8516,1
630,5.9586,1.3219,0
631,5.0863,2.9611,1
632,2.4911,4.2051,0
633,1.3553,1.5152,0
634,4.3512,3.8551,1
635,4.6175,1.6160,0
636,3.3061,3.8656,0
637,9.1809,3.4427,1
638,1.7176,2.0264,0
639,6.9389,0.0682,0
640,2.2015,2.1721,0
641,6.8706,0.3989,0
642,6.1136,2.7114,1
643,1.2415,2.8609,0
644,6.9372,2.8147,1
645,0.2288,4.1515,0
646,8.4846,3.0825,1
647,1.4977,4.2509,0
648,2.6783,0.8403,0
649,5.4466,0.7853,0
650,0.2307,4.8439,0
651,9.1683,4.0350,1
652,7.1218,2.5537,1
653,2.0987,0.6403,0
654,1.7693,2.0675,0
655,5.6026,3.7447,1
656,8.6762,0.8796,1
657,7.6739,0.5201,1
658,6.4841,0.6516,0
659,8.7509,1.3151,1
660,6.7448,3.6530,1
661,0.9243,4.6025,0
662,7.9026,4.1748,1
663,7.9668,2.7290,1
664,9.8221,3.4763,1
665,1.6857,4.2030,0
666,3.4272,4.4637,1
667,8.9889,2.4378,1
668,3.4309,2.8714,0
669,0.4495,1.6732,0
670,2.3502,2.0427,0
671,7.0598,4.5707,1
672,3.2292,3.5836,0
673,3.0140,2.4921,0
674,8.8557,1.3919,1
675,5.5643,4.8929,1
676,2.1367,0.0647,0
677,2.0106,0.1789,0
678,8.9041,3.0697,1
679,9.8266,1.3275,1
680,2.9422,1.7677,0
681,8.9992,0.9657,1
682,1.2850,3.3673,0
683,8.2880,1.7409,1
684,7.6422,0.2222,1
685,3.5311,2.8263,0
686,5.5674,4.1446,1
687,5.9752,0.1591,0
688,5.5348,4.9281,1
689,5.6473,4.3524,1
690,8.8095,3.3883,1
691,3.9210,1.3475,0
692,7.5639,0.8360,1
693,7.2542,2.8081,1
694,3.3156,2.8634,0
695,0.5607,3.8493,0
696,8.4128,1.4616,1
697,9.7923,4.2789,1
698,5.4422,2.0055,0
699,9.2830,4.1272,1
700,6.7281,2.0628,1
701,5.6376,1.1052,0
702,7.9552,3.9205,1
703,1.7911,3.5253,0
704,8.0547,2.5283,1
705,1.4008,3.8749,0
706,3.1736,0.5445,0
707,1.2145,3.1124,0
708,7.5226,3.9587,1
709,1.7194,1.5854,0
710,8.7201,2.8822,1
711,1.1591,4.5369,0
712,6.9975,0.2198,0
713,8.9457,0.1366,1
714,7.8070,4.4801,1
715,7.9284,3.2857,1
716,8.9265,3.5619,1
717,5.6118,2.4896,1
718,0.6729,4.1900,0
719,1.6787,1.7061,0
720,2.5564,3.5510,0
721,7.5365,3.6714,1
722,9.2252,1.3263,1
723,3.3343,3.1634,0
724,4.7057,0.4645,0
725,6.3706,3.0534,1
726,7.6300,2.8797,1
727,6.0647,1.2558,0
728,9.3821,1.1393,1
729,7.6036,2.0678,1
730,4.5037,0.9104,0
731,7.2101,3.0182,1
732,1.3665,1.7813,0
733,4.3573,4.2097,1
734,4.3694,3.6958,1
735,1.2579,1.5950,0
736,2.0217,2.7481,0
737,4.7324,4.5659,1
738,5.1135,4.6318,1
739,3.0971,4.0884,0
740,7.9146,4.6480,1
741,8.1363,1.4823,1
742,5.0663,3.5867,1
743,7.9445,3.3847,1
744,7.7790,3.3360,1
745,2.6446,3.1923,0
746,2.7345,0.7033,0
747,7.4055,3.3222,1
748,9.1106,2.8625,1
749,7.5171,2.9963,1
750,8.8400,4.1374,1
751,2.6961,1.3391,0
752,9.4993,1.1020,1
753,7.2161,0.7666,1
754,9.2976,4.1182,1
755,5.0251,3.9888,1
756,4.2268,2.7007,0
757,9.6355,2.1469,1
758,5.3290,2.6767,1
759,9.8665,0.2694,1
760,6.0979,2.2667,1
761,8.7786,1.9334,1
762,5.3036,2.3786,1
763,1.7342,4.0405,0
764,8.3718,0.4910,1
765,3.8612,1.3840,0
766,5.4651,2.8162,1
767,5.0069,1.3071,0
768,8.8553,0.6434,1
769,4.0237,2.3682,0
770,7.1425,3.9263,1
771,7.8455,4.9808,1
772,6.0318,4.3673,1
773,8.5537,2.0918,1
774,6.2986,0.4828,0
775,5.9131,1.8617,1
776,9.0404,3.9341,1
777,0.9921,3.2874,0
778,6.3559,2.8842,1
779,2.7925,1.2500,0
780,0.6234,2.2973,0
781,9.1168,1.9024,1
782,8.0295,1.1447,1
783,8.6799,1.7339,1
784,4.5120,3.9530,1
785,9.9367,0.2929,1
786,5.2539,2.3842,1
787,7.3875,4.0302,1
788,1.7279,0.6552,0
789,3.0914,4.8884,1
790,5.7768,0.7467,0
791,9.6657,0.6649,1
792,8.0717,2.5226,1
793,7.3117,2.9190,1
794,4.9115,1.6813,0
795,1.0279,3.2980,0
796,5.4820,2.2828,1
797,9.9549,0.3769,1
798,2.5462,1.1658,0
799,4.6744,3.1115,1
800,2.7947,3.5922,0
801,1.9889,2.2705,0
802,6.9658,4.8868,1
803,0.3161,3.7040,0
804,6.2891,2.0155,1
805,1.0054,1.4923,0
806,6.3345,4.5253,1
807,7.6640,3.8664,1
808,8.6124,2.0720,1
809,6.6856,3.2538,1
810,5.4878,3.3284,1
811,9.5565,2.7643,1
812,9.8387,2.6708,1
813,4.5789,3.2186,1
814,1.4953,1.6627,0
815,3.2992,2.5901,0
816,0.9361,3.8223,0
817,2.1532,1.6362,0
818,5.0938,2.3820,0
819,8.5924,3.1491,1
820,6.3830,3.1601,1
821,8.6979,2.9078,1
822,4.1307,0.9642,0
823,6.3586,1.1926,1
824,1.6863,1.6657,0
825,3.7940,2.1766,0
826,0.0238,0.3940,0
827,7.1834,4.5281,1
828,2.0968,4.3158,0
829,6.2588,2.6316,1
830,8.5902,0.8380,1
831,5.4961,1.3930,0
832,9.5715,2.9383,1
833,9.5004,4.4381,1
834,0.0186,0.3126,0
835,3.8722,0.9937,0
836,0.5359,2.4522,0
837,5.6233,2.3936,1
838,7.3950,4.6086,1
839,5.9242,0.6201,0
840,5.2656,3.5135,1
841,2.2550,0.5890,0
842,7.8281,3.1808,1
843,4.1269,2.1478,0
844,0.9289,1.8446,0
845,4.4416,1.3592,0
846,6.3211,1.2035,1
847,8.9784,4.7039,1
848,5.3742,1.5700,0
849,6.9453,3.8964,1
850,6.6038,3.0797,1
851,5.0450,2.4489,0
852,7.8259,0.4134,1
853,4.4395,4.0311,1
854,2.7276,3.1418,0
855,4.4814,3.5985,1
856,2.3867,3.2879,0
857,6.7400,3.8316,1
858,7.1200,1.7270,1
859,8.5979,0.5654,1
860,2.2905,1.8125,0
861,3.9691,0.8659,0
862,7.0242,1.0900,1
863,1.3439,2.5066,0
864,8.8683,0.1739,1
865,9.5663,4.5962,1
866,0.4897,1.5688,0
867,6.6613,4.1440,1
868,3.8392,4.4236,1
869,4.4448,2.4273,0
870,6.9226,1.1840,1
871,7.7637,1.7232,1
872,7.1471,2.0649,1
873,5.1925,0.5736,0
874,6.2738,0.2816,0
875,2.1627,1.5646,0
876,9.9056,3.6516,1
877,4.0839,2.4863,0
878,1.9283,3.6314,0
879,6.1275,1.0070,0
880,5.6550,2.5280,1
881,4.2981,3.3429,1
882,8.2045,0.0498,1
883,2.2864,4.1442,0
884,2.4531,0.8749,0
885,9.0765,4.8328,1
886,5.2776,3.9629,1
887,5.7448,2.9296,1
888,2.1774,4.1266,0
889,7.5533,2.0909,1
890,5.7529,1.7391,0
891,2.4829,0.3582,0
892,4.9615,2.1535,0
893,4.4757,0.1229,0
894,9.1791,0.6063,1
895,6.0970,0.6564,0
896,2.7025,1.8906,0
897,7.0967,0.3387,0
898,9.5889,2.4334,1
899,5.9879,2.0839,1
900,6.9817,0.5106,0
901,9.6955,3.3836,1
902,8.4105,3.1238,1
903,9.6088,0.8393,1
904,7.6729,1.6247,1
905,2.2221,3.4492,0
906,4.9903,1.3887,0
907,6.0474,4.7868,1
908,1.2133,0.3173,0
909,3.9784,0.4552,0
910,8.9217,4.5046,1
911,0.7985,0.0836,0
912,5.5038,4.3099,1
913,7.5593,4.9164,1
914,8.2466,2.6705,1
915,0.3660,0.9938,0
916,2.1831,1.9277,0
917,6.9463,4.0975,1
918,8.6182,1.4793,1
919,1.2671,4.7407,0
920,5.3010,2.1059,0
921,4.3153,3.3551,1
922,9.8872,3.8531,1
923,3.8654,1.8517,0
924,7.8212,0.4046,1
925,2.1517,4.8144,0
926,2.5972,0.9552,0
927,3.3521,1.3231,0
928,0.8770,4.2039,0
929,8.3315,2.8703,1
930,2.5402,3.1199,0
931,3.9827,0.5182,0
932,4.2800,4.2365,1
933,6.4974,1.1276,1
934,6.1885,0.3051,0
935,9.8098,2.2224,1
936,8.9201,0.0373,1
937,3.6542,0.9900,0
938,0.4384,3.4872,0
939,5.9565,3.3761,1
940,8.5801,0.4361,1
941,2.3704,1.7650,0
942,9.4784,1.5892,1
943,0.6441,2.1449,0
944,0.3277,4.8354,0
945,7.2519,0.6164,1
946,6.5602,4.5995,1
947,6.3950,0.4531,0
948,1.2701,1.3256,0
949,3.3438,3.6211,0
950,3.0105,3.4762,0
951,1.4682,0.9650,0
952,7.8572,1.5245,1
953,7.5381,3.6683,1
954,7.5013,0.1330,1
955,1.4157,3.4435,0
956,5.2088,0.7386,0
957,6.0871,3.2256,1
958,0.0597,4.3884,0
959,4.5117,0.3104,0
960,3.6927,4.2637,1
961,1.3680,0.4523,0
962,6.4149,0.0829,0
963,4.9389,0.0468,0
964,1.8612,3.5204,0
965,0.4968,2.9984,0
966,1.9417,1.3676,0
967,3.3204,0.0975,0
968,4.8867,1.3589,0
969,8.0270,3.9236,1
970,0.6766,3.6498,0
971,9.3588,3.6999,1
972,9.6498,4.8345,1
973,0.7512,2.1368,0
974,9.1520,0.9114,1
975,9.2041,4.2713,1
976,1.8891,1.5990,0
977,4.8742,3.7524,1
978,3.1560,3.2709,0
979,3.6877,1.1678,0
980,5.7695,1.4067,0
981,7.4307,2.3927,1
982,8.4505,3.8546,1
983,5.7149,3.3749,1
984,5.7269,2.8646,1
985,4.9821,4.2524,1
986,4.3598,3.8365,1
987,1.1719,4.4006,0
988,9.9431,1.3144,1
989,5.8621,2.7297,1
990,8.7197,3.4435,1
991,4.2494,3.5054,1
992,6.0407,3.5882,1
993,3.6384,0.9234,0
994,7.3558,4.8265,1
995,3.6048,4.3909,1
996,7.8077,3.6720,1
997,9.7997,4.5563,1
